,ปี,จังหวัด,อำเภอ,อปท,รถเปิดข้างเทท้าย/คัน,รถแบบอัดท้าย (คัน),รถคอนเทนเนอร์ (คัน),รถบรรทุกเทท้าย (คัน),รถปิคอัพ (คัน),รถชนิดอื่นๆ (คัน)
88,2565,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0,5,0,0,0,0
89,2566,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,0,0,0,0,0,0
90,2566,นนทบุรี,บางบัวทอง,เทศบาลนครบางบัวทอง,0,0,0,0,0,0
91,2566,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,0,0,0,0,0,0
92,2566,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,6,0,0,0,0,0
93,2566,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,1,13,2,2,0,0
94,2566,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,7,0,0,0,0,0
95,2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0,9,0,0,0,0
96,2566,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,0,0,0,0,0,0
97,2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,0,8,0,3,7,2
98,2566,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,0,13,0,3,0,1
99,2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,0,0,0,0,0,0
100,2566,นนทบุรี,บางใหญ่,เทศบาลเมืองเสาธงหิน,6,9,4,4,0,0
101,2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,0,0,0,0,0,0
102,2566,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,0,2,0,0,0,0
103,2566,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,0,4,0,0,0,0
104,2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,2,4,0,0,0,0
105,2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,0,0,0,0,0,0
106,2566,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0,4,0,0,0,0
107,2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,0,0,0,0,0,0
108,2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0,8,0,0,1,0
109,2566,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,0,13,2,0,0,1
110,2566,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,0,6,0,0,0,0
111,2566,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,0,0,0,0,0,1
112,2566,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0,1,0,0,0,0
113,2566,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,0,0,0,0,0,0
114,2566,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,0,0,0,0,0,0
115,2566,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,0,0,0,0,0,0
116,2566,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0,0,0,0,0,0
117,2566,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,0,5,0,0,0,0
118,2566,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,0,0,0,0,0,0
119,2566,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,0,3,0,0,0,0
120,2566,นนทบุรี,บางกรวย,อบต.บางขนุน,0,3,1,0,0,0
121,2566,นนทบุรี,บางกรวย,อบต.บางขุนกอง,0,0,0,0,0,0
122,2566,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0,3,0,1,0,0
123,2566,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,0,5,0,0,0,0
124,2566,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,7,7,0,0,0,0
125,2566,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,0,0,0,0,0,0
126,2566,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0,6,0,0,0,0
127,2566,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0,4,0,0,0,0
128,2566,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0,3,0,0,0,0
