,ปี,จังหวัด,อำเภอ,อปท,ค่าจัดซื้อครุภัณฑ์,ค่าน้ำมัน,ค่าบำรุงรักษาระบบ,ค่าจ้างคนงาน,ค่าเก็บขน,ค่ากำจัด
70,2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,0.0,0.0,0.0,0.0,0.0,0.0
71,2566,นนทบุรี,บางใหญ่,เทศบาลเมืองเสาธงหิน,420000.0,7984395.64,6641372.1,10325829.02,9968848.19,2978721.0
72,2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,0.0,0.0,0.0,0.0,0.0,0.0
73,2566,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,0.0,222000.7,149714.4,1530300.0,0.0,0.0
74,2566,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,0.0,896176.0,659264.0,2339863.56,0.0,0.0
75,2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.0,573544.4,607190.3,3042701.58,0.0,241286.25
76,2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,0.0,0.0,0.0,0.0,0.0,0.0
77,2566,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0.0,0.0,0.0,0.0,0.0,0.0
78,2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,0.0,0.0,0.0,0.0,0.0,0.0
79,2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0.0,1888371.4,1536280.5,4934008.54,0.0,1345939.5
80,2566,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,0.0,0.0,0.0,0.0,0.0,0.0
81,2566,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,7000000.0,1200000.0,650000.0,3252130.0,0.0,1049452.5
82,2566,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,0.0,0.0,0.0,0.0,0.0,0.0
83,2566,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0.0,0.0,21780.0,0.0,0.0,0.0
84,2566,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,0.0,0.0,0.0,0.0,0.0,0.0
85,2566,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,0.0,0.0,0.0,0.0,0.0,0.0
86,2566,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,0.0,730241.6,689811.1,2365730.1,0.0,0.0
87,2566,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.0,0.0,0.0,0.0,0.0,0.0
88,2566,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,2400000.0,1000000.0,1000000.0,3650000.0,0.0,0.0
89,2566,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,0.0,0.0,0.0,0.0,0.0,0.0
90,2566,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,2392000.0,332520.0,92770.0,1086450.62,0.0,0.0
91,2566,นนทบุรี,บางกรวย,อบต.บางขนุน,0.0,0.0,0.0,0.0,0.0,0.0
92,2566,นนทบุรี,บางกรวย,อบต.บางขุนกอง,0.0,0.0,0.0,0.0,0.0,0.0
93,2566,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0.0,400000.0,200000.0,2864200.0,0.0,250000.0
94,2566,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,3500000.0,1264315.7,455878.45,4195374.0,0.0,0.0
95,2566,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,0.0,0.0,0.0,0.0,0.0,0.0
96,2566,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,0.0,0.0,0.0,0.0,0.0,0.0
97,2566,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.0,1035810.0,432684.43,172945.0,0.0,0.0
98,2566,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.0,708000.0,400000.0,1521840.0,0.0,0.0
99,2566,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0.0,0.0,0.0,0.0,0.0,0.0
100,2566,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,0.0,0.0,0.0,0.0,0.0,0.0
101,2566,นนทบุรี,บางบัวทอง,อบต.ละหาร,193944.1,1936130.2,862560.2,5482895.55,0.0,1698436.6
102,2566,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0.0,0.0,0.0,0.0,0.0,0.0
103,2566,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,0.0,0.0,0.0,0.0,0.0,0.0
104,2566,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,0.0,0.0,0.0,0.0,0.0,0.0
105,2567,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,0.0,0.0,0.0,0.0,0.0,0.0
106,2567,นนทบุรี,บางบัวทอง,เทศบาลนครบางบัวทอง,0.0,0.0,0.0,0.0,0.0,0.0
107,2567,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,0.0,0.0,0.0,0.0,0.0,0.0
108,2567,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,0.0,0.0,0.0,0.0,1244000.0,126577.5
109,2567,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,0.0,4432739.8,3929455.27,9664155.16,0.0,2461904.25
110,2567,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,2260000.0,2328183.4,2752424.66,3888000.0,0.0,0.0
111,2567,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,12500000.0,2098974.7,2654529.5,4693560.0,0.0,1829382.0
112,2567,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,0.0,0.0,0.0,0.0,0.0,0.0
113,2567,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,1500000.0,126000.0,50000.0,1728000.0,13000000.0,2200000.0
114,2567,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,0.0,3088710.5,2397698.0,8625379.01,0.0,2095699.7
115,2567,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,0.0,0.0,0.0,0.0,0.0,0.0
116,2567,นนทบุรี,บางใหญ่,เทศบาลเมืองเสาธงหิน,1429000.0,7551094.34,6719370.05,19171919.47,8825882.6,3626334.75
117,2567,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,0.0,0.0,0.0,0.0,0.0,0.0
118,2567,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,0.0,0.0,0.0,0.0,0.0,0.0
119,2567,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,0.0,941224.27,675302.7,2207541.88,0.0,783609.75
120,2567,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,1300000.0,555631.6,749411.6,2970576.1,0.0,294859.5
121,2567,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,0.0,0.0,0.0,0.0,0.0,0.0
122,2567,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0.0,0.0,0.0,0.0,0.0,0.0
123,2567,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,0.0,0.0,0.0,0.0,0.0,0.0
124,2567,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0.0,1780820.7,2077747.2,5978215.45,1298509.0,0.0
125,2567,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,582700.0,6000000.0,6000000.0,12489788.0,0.0,0.0
126,2567,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,2000000.0,1480325.03,1162518.9,4497240.0,0.0,1262447.25
127,2567,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,0.0,0.0,0.0,0.0,0.0,0.0
128,2567,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0.0,0.0,0.0,0.0,0.0,0.0
129,2567,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,0.0,0.0,0.0,0.0,0.0,0.0
130,2567,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,0.0,0.0,0.0,0.0,0.0,0.0
131,2567,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,0.0,894431.7,499092.3,2384782.9,561013.9,0.0
132,2567,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.0,0.0,0.0,0.0,0.0,0.0
133,2567,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,2400000.0,1000000.0,1000000.0,3650000.0,0.0,0.0
134,2567,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,0.0,0.0,0.0,0.0,0.0,0.0
135,2567,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,0.0,0.0,0.0,0.0,0.0,0.0
136,2567,นนทบุรี,บางกรวย,อบต.บางขนุน,0.0,0.0,0.0,0.0,0.0,0.0
137,2567,นนทบุรี,บางกรวย,อบต.บางขุนกอง,0.0,0.0,0.0,0.0,0.0,0.0
138,2567,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0.0,0.0,0.0,0.0,0.0,0.0
139,2567,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,3000000.0,1432596.0,1300000.0,4500000.0,1317540.0,827439.75
140,2567,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,0.0,0.0,0.0,0.0,0.0,0.0
141,2567,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,0.0,0.0,0.0,0.0,0.0,0.0
142,2567,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.0,1003438.81,527296.0,201717.0,0.0,0.0
143,2567,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.0,708000.0,400000.0,1521840.0,0.0,0.0
144,2567,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0.0,500000.0,800000.0,1756680.0,0.0,0.0
145,2567,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,0.0,0.0,0.0,0.0,0.0,0.0
146,2567,นนทบุรี,บางบัวทอง,อบต.ละหาร,0.0,0.0,0.0,0.0,0.0,0.0
147,2567,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0.0,1000000.0,600000.0,2208000.0,0.0,0.0
148,2567,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,0.0,0.0,0.0,0.0,0.0,0.0
149,2567,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,0.0,0.0,0.0,0.0,0.0,0.0
