ปี,เดือน,จังหวัด,อำเภอ,อปท.,ขยะมูลฝอยชุมชน(ตัน)
2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,1800.3
2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,1528.25
2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,1072.46
2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,1458.97
2563,มีนาคม,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,177.56
2563,มีนาคม,นนทบุรี,บางบัวทอง,อบต.ละหาร,4536.38
2563,มีนาคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,565.0
2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,729.76
2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,190.55
2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,700.0
2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,400.23
2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,797.56
2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,2017.45
2563,มีนาคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,318.07
2563,มีนาคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,204.82
2563,มีนาคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,10796.59
2563,มีนาคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,430.28
2563,มีนาคม,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,48.0
2563,มีนาคม,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,220.0
2563,มีนาคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,253.49
2563,มีนาคม,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,552.93
2563,มีนาคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,141.63
2563,มีนาคม,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,261.74
2563,มีนาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,14409.97
2563,มีนาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,942.2
2563,มีนาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,879.92
