,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะอินทรีย์ลงถัง(ตัน)
86,2563,เมษายน,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,299.0
87,2563,เมษายน,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,993.85
88,2563,เมษายน,นนทบุรี,บางกรวย,อบต.บางขนุน,177.79
89,2563,เมษายน,นนทบุรี,บางกรวย,อบต.บางขุนกอง,105.0
90,2563,เมษายน,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,2.15
91,2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,643.37
92,2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,389.28
93,2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,490.8
94,2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,150.0
95,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,4.0
96,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.55
97,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,142.38
98,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,240.5
99,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,18.0
100,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,3.8
101,2563,เมษายน,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.6
102,2563,เมษายน,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,25.0
103,2563,เมษายน,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,243.94
104,2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,3.0
105,2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,49.27
106,2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3887.0
107,2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,705.41
108,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,40.88
109,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,69.0
110,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,96.37
111,2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,458.1
112,2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,189.0
113,2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,1028.58
114,2563,พฤษภาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,181.71
115,2563,พฤษภาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,95.0
116,2563,พฤษภาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,1.85
117,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,595.28
118,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,685.28
119,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,491.86
120,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,140.0
