ปี,จังหวัด,อำเภอ,อปท,คร.ที่กำจัดขยะ
2567,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,6962
2567,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,1220
2567,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,9207
2567,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0
2567,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,3500
2567,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,1803
2567,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,15903
2567,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,12672
2567,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,657
2567,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,1872
2567,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,2028
2567,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,4872
2567,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,485
2567,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,1202
2567,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,5699
2567,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,16797
2567,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,1622
2567,นนทบุรี,บางกรวย,อบต.บางขนุน,3756
2567,นนทบุรี,บางกรวย,อบต.บางขุนกอง,7838
2567,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,869
2567,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,5484
2567,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,12070
2567,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,3000
2567,นนทบุรี,บางใหญ่,อบต.บางใหญ่,3174
2567,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,3378
2567,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,3275
2567,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,1157
2567,นนทบุรี,บางบัวทอง,อบต.ละหาร,13162
2567,นนทบุรี,บางบัวทอง,อบต.ลำโพ,8611
2567,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,1622
2567,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,2666
