,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะรีไซเคิลลงถัง(ตัน)
105,2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,321.15
106,2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,482.62
107,2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,50.0
108,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,4.0
109,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,2.65
110,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,355.94
111,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,115.44
112,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,53.33
113,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,0.24
114,2563,เมษายน,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,1.3
115,2563,เมษายน,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,800.0
116,2563,เมษายน,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,114.35
117,2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,1.0
118,2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,5.0
119,2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,30.13
120,2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,23.1
121,2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3366.3
122,2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,12.0
123,2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,370.05
124,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,6.29
