,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะติดเชื้อ (ตัน),ขยะกำจัดถูกต้อง(ตัน)
161,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,10.174,10.174
162,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0.0,0.0
163,2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,0.0,0.0
164,2563,เมษายน,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.0,0.0
165,2563,เมษายน,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.0,0.0
166,2563,เมษายน,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,20.876,20.876
167,2563,เมษายน,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,0.028,0.028
168,2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,0.0,0.0
169,2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,0.0,0.0
170,2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,0.0,0.0
171,2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,0.09,0.09
172,2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0.005,0.0
173,2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,0.0,0.0
174,2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,49.341,49.641
175,2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,0.0,0.0
176,2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,0.04,0.04
177,2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,0.0,0.0
178,2563,เมษายน,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,0.0,0.0
179,2563,เมษายน,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,0.0,0.0
180,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,0.0,0.0
181,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0.0,0.0
